taxon,country
hCoV-19/USA/WA-UW275/2020|EPI ISL 418060|NorthAmerica|USA|2020-03-14,United States of America
hCoV-19/England/20109056406/2020|EPI ISL 417281|Europe|UnitedKingdom|2020-03-06,United Kingdom
hCoV-19/Netherlands/Utrecht 18/2020|EPI ISL 415527|Europe|Netherlands|2020-03-12,Netherlands
hCoV-19/Switzerland/1000477102/2020|EPI ISL 413019|Europe|Switzerland|2020-02-26,Switzerland
hCoV-19/Iceland/324/2020|EPI ISL 417653|Europe|Iceland|2020-03-18,Iceland
hCoV-19/Iceland/202/2020|EPI ISL 417750|Europe|Iceland|2020-03-16,Iceland
hCoV-19/Iceland/135/2020|EPI ISL 417696|Europe|Iceland|2020-03-12,Iceland
hCoV-19/Iceland/279/2020|EPI ISL 417607|Europe|Iceland|2020-03-17,Iceland
hCoV-19/Iceland/131/2020|EPI ISL 417771|Europe|Iceland|2020-03-12,Iceland
hCoV-19/Iceland/119/2020|EPI ISL 417544|Europe|Iceland|2020-03-17,Iceland
hCoV-19/England/200990006/2020|EPI ISL 414011|Europe|UnitedKingdom|2020-02-26,United Kingdom
hCoV-19/England/20106145903/2020|EPI ISL 417246|Europe|UnitedKingdom|2020-03-03,United Kingdom
hCoV-19/USA/MN4-MDH4/2020|EPI ISL 417189|NorthAmerica|USA|2020-03-09,United States of America
hCoV-19/Belgium/ULG-3683/2020|EPI ISL 417011|Europe|Belgium|2020-03-07,Belgium
hCoV-19/Australia/VIC09/2020|EPI ISL 416515|Oceania|Australia|2020-03-15,Australia
hCoV-19/Iceland/328/2020|EPI ISL 417657|Europe|Iceland|2020-03-13,Iceland
hCoV-19/Australia/NSW52/2020|EPI ISL 417405|Oceania|Australia|2020-03-11,Australia
hCoV-19/Netherlands/ZuidHolland 8/2020|EPI ISL 414468|Europe|Netherlands|2020-03-06,Netherlands
hCoV-19/Netherlands/NoordBrabant 20/2020|EPI ISL 414529|Europe|Netherlands|2020-03-04,Netherlands
hCoV-19/Iceland/275/2020|EPI ISL 417603|Europe|Iceland|2020-03-17,Iceland
hCoV-19/Iceland/151/2020|EPI ISL 417801|Europe|Iceland|2020-03-13,Iceland
hCoV-19/Scotland/CVR10/2020|EPI ISL 415631|Europe|UnitedKingdom|2020-03-10,United Kingdom
hCoV-19/England/20102087902/2020|EPI ISL 417215|Europe|UnitedKingdom|2020-02-25,United Kingdom
hCoV-19/England/SHEF-BFCEE/2020|EPI ISL 416733|Europe|England|2020-03-07,England
hCoV-19/England/20110000806/2020|EPI ISL 417303|Europe|UnitedKingdom|2020-03-05,United Kingdom
hCoV-19/Belgium/ULG-7019/2020|EPI ISL 417025|Europe|Belgium|2020-03-15,Belgium
hCoV-19/Belgium/ULG-6638/2020|EPI ISL 417017|Europe|Belgium|2020-03-14,Belgium
hCoV-19/USA/WA-UW108/2020|EPI ISL 416646|NorthAmerica|USA|2020-03-11,United States of America
hCoV-19/Iceland/246/2020|EPI ISL 417574|Europe|Iceland|2020-03-17,Iceland
hCoV-19/Iceland/340/2020|EPI ISL 417669|Europe|Iceland|2020-03-15,Iceland
hCoV-19/Iceland/339/2020|EPI ISL 417668|Europe|Iceland|2020-03-15,Iceland
hCoV-19/Australia/NSW56/2020|EPI ISL 417408|Oceania|Australia|2020-03-17,Australia
hCoV-19/USA/WA-UW137/2020|EPI ISL 416675|NorthAmerica|USA|2020-03-11,United States of America
hCoV-19/Iceland/341/2020|EPI ISL 417670|Europe|Iceland|2020-03-15,Iceland
hCoV-19/Iceland/94/2020|EPI ISL 417732|Europe|Iceland|2020-03-10,Iceland
hCoV-19/England/20109094506/2020|EPI ISL 417292|Europe|UnitedKingdom|2020-03-08,United Kingdom
hCoV-19/France/B2334/2020|EPI ISL 416503|Europe|France|2020-03-01,France
hCoV-19/France/B2340/2020|EPI ISL 416507|Europe|France|2020-03-05,France
hCoV-19/Norway/1443/2020|EPI ISL 417490|Europe|Norway|2020-02-27,Norway
hCoV-19/Iceland/13/2020|EPI ISL 417765|Europe|Iceland|2020-02-27,Iceland
hCoV-19/Italy/SPL1/2020|EPI ISL 412974|Europe|Italy|2020-01-29,Italy
hCoV-19/USA/CA4/2020|EPI ISL 408009|NorthAmerica|USA|2020-01-29,United States of America
hCoV-19/Canada/ON-PHL2445/2020|EPI ISL 413014|NorthAmerica|Canada|2020-01-25,Canada
hCoV-19/Shanghai/SH0052/2020|EPI ISL 416360|Asia|China|2020-02-01,China
