taxon,country
hCoV-19/Belgium/ULG-6939/2020|EPI ISL 417020|Europe|Belgium|2020-03-15,Belgium
hCoV-19/France/IDF2075/2020|EPI ISL 415650|Europe|France|2020-03-02,France
hCoV-19/France/Bourg-en-Bresse 06813/2020|EPI ISL 417340|Europe|France|2020-03-07,France
hCoV-19/USA/UT-00033/2020|EPI ISL 417976|NorthAmerica|USA|2020-03-24,United States of America
hCoV-19/USA/NY-NYUMC18/2020|EPI ISL 418203|NorthAmerica|USA|2020-03-17,United States of America
hCoV-19/USA/WA-UW104/2020|EPI ISL 416642|NorthAmerica|USA|2020-03-11,United States of America
hCoV-19/Netherlands/NA 24/2020|EPI ISL 415481|Europe|Netherlands|2020-03-08,Netherlands
hCoV-19/France/HF2586/2020|EPI ISL 418236|Europe|France|2020-03-16,France
hCoV-19/USA/NY-NYUMC7/2020|EPI ISL 418192|NorthAmerica|USA|2020-03-16,United States of America
hCoV-19/Iceland/336/2020|EPI ISL 417665|Europe|Iceland|2020-03-14,Iceland
hCoV-19/Iceland/173/2020|EPI ISL 417700|Europe|Iceland|2020-03-15,Iceland
hCoV-19/USA/CZB-RR057-014/2020|EPI ISL 417938|NorthAmerica|USA|2020-03-18,United States of America
hCoV-19/USA/WA-UW117/2020|EPI ISL 416655|NorthAmerica|USA|2020-03-11,United States of America
hCoV-19/USA/CA-CDPH-UC24/2020|EPI ISL 417328|NorthAmerica|USA|2020-03-07,United States of America
hCoV-19/France/Macon 06756/2020|EPI ISL 417338|Europe|France|2020-03-07,France
hCoV-19/France/B2330/2020|EPI ISL 416502|Europe|France|2020-02-26,France
hCoV-19/Iceland/18/2020|EPI ISL 417710|Europe|Iceland|2020-03-02,Iceland
hCoV-19/Iceland/327/2020|EPI ISL 417656|Europe|Iceland|2020-03-14,Iceland
hCoV-19/Iceland/251/2020|EPI ISL 417579|Europe|Iceland|2020-03-17,Iceland
hCoV-19/France/B2348/2020|EPI ISL 416511|Europe|France|2020-03-07,France
hCoV-19/France/B2344/2020|EPI ISL 416509|Europe|France|2020-03-06,France
hCoV-19/France/B2349/2020|EPI ISL 416512|Europe|France|2020-03-07,France
hCoV-19/France/B2351/2020|EPI ISL 416513|Europe|France|2020-03-07,France
hCoV-19/Iceland/101/2020|EPI ISL 417682|Europe|Iceland|2020-03-10,Iceland
hCoV-19/Denmark/SSI-104/2020|EPI ISL 415648|Europe|Denmark|2020-03-03,Denmark
hCoV-19/USA/NY-NYUMC15/2020|EPI ISL 418200|NorthAmerica|USA|2020-03-17,United States of America
hCoV-19/USA/WI-GMF-00232/2020|EPI ISL 418188|NorthAmerica|USA|2020-03-23,United States of America
hCoV-19/USA/NY-NYUMC13/2020|EPI ISL 418198|NorthAmerica|USA|2020-03-17,United States of America
hCoV-19/USA/WA-UW291/2020|EPI ISL 418076|NorthAmerica|USA|2020-03-15,United States of America
hCoV-19/USA/CZB-RR057-015/2020|EPI ISL 417939|NorthAmerica|USA|2020-03-18,United States of America
hCoV-19/USA/UPHL-06/2020|EPI ISL 415544|NorthAmerica|USA|2020-03-13,United States of America
hCoV-19/USA/MN38-MDH38/2020|EPI ISL 417474|NorthAmerica|USA|2020-03-12,United States of America
hCoV-19/USA/NY-NYUMC12/2020|EPI ISL 418197|NorthAmerica|USA|2020-03-15,United States of America
hCoV-19/Germany/NRW-12/2020|EPI ISL 417457|Europe|Germany|2020-03-10,Germany
hCoV-19/Finland/FIN-455/2020|EPI ISL 414642|Europe|Finland|2020-03-08,Finland
hCoV-19/USA/WI-GMF-00018/2020|EPI ISL 418184|NorthAmerica|USA|2020-03-18,United States of America
hCoV-19/France/HF1465/2020|EPI ISL 418218|Europe|France|2020-02-21,France
hCoV-19/USA/UT-00034/2020|EPI ISL 417977|NorthAmerica|USA|2020-03-24,United States of America
hCoV-19/Iceland/125/2020|EPI ISL 417690|Europe|Iceland|2020-03-11,Iceland
hCoV-19/USA/WA-UW96/2020|EPI ISL 416452|NorthAmerica|USA|2020-03-10,United States of America
hCoV-19/USA/WA-UW166/2020|EPI ISL 416704|NorthAmerica|USA|2020-03-15,United States of America
hCoV-19/USA/WA-UW283/2020|EPI ISL 418068|NorthAmerica|USA|2020-03-14,United States of America
hCoV-19/USA/WA-UW153/2020|EPI ISL 416691|NorthAmerica|USA|2020-03-13,United States of America
hCoV-19/USA/WA-UW296/2020|EPI ISL 418081|NorthAmerica|USA|2020-03-15,United States of America
hCoV-19/USA/WA-UW240/2020|EPI ISL 417454|NorthAmerica|USA|2020-03-14,United States of America
hCoV-19/USA/WA-UW29/2020|EPI ISL 414616|NorthAmerica|USA|2020-03-08,United States of America
hCoV-19/USA/WA-UW155/2020|EPI ISL 416693|NorthAmerica|USA|2020-03-12,United States of America
hCoV-19/USA/WA-UW78/2020|EPI ISL 416434|NorthAmerica|USA|2020-03-10,United States of America
hCoV-19/Netherlands/NA 20/2020|EPI ISL 415477|Europe|Netherlands|2020-03-12,Netherlands
hCoV-19/Netherlands/NoordHolland 3/2020|EPI ISL 415525|Europe|Netherlands|2020-03-12,Netherlands
hCoV-19/France/HF2405/2020|EPI ISL 418228|Europe|France|2020-03-12,France
hCoV-19/Iceland/30/2020|EPI ISL 417773|Europe|Iceland|2020-03-03,Iceland
hCoV-19/USA/CA-CDPH-UC27/2020|EPI ISL 417331|NorthAmerica|USA|2020-03-13,United States of America
hCoV-19/NanChang/JX216/2020|EPI ISL 417420|Asia|China|2020-03-21,China
hCoV-19/USA/NY-NYUMC14/2020|EPI ISL 418199|NorthAmerica|USA|2020-03-17,United States of America
hCoV-19/USA/NY-NYUMC5/2020|EPI ISL 418190|NorthAmerica|USA|2020-03-16,United States of America
hCoV-19/USA/MN40-MDH40/2020|EPI ISL 417476|NorthAmerica|USA|2020-03-12,United States of America
hCoV-19/France/IDF2284/2020|EPI ISL 416501|Europe|France|2020-03-10,France
hCoV-19/Iceland/91/2020|EPI ISL 417873|Europe|Iceland|2020-03-10,Iceland
hCoV-19/USA/WA-UW251/2020|EPI ISL 418036|NorthAmerica|USA|2020-03-13,United States of America
hCoV-19/USA/WA-UW243/2020|EPI ISL 418028|NorthAmerica|USA|2020-03-13,United States of America
hCoV-19/USA/UT-00027/2020|EPI ISL 417970|NorthAmerica|USA|2020-03-24,United States of America
hCoV-19/USA/WA-UW123/2020|EPI ISL 416661|NorthAmerica|USA|2020-03-12,United States of America
hCoV-19/USA/WA-UW257/2020|EPI ISL 418042|NorthAmerica|USA|2020-03-13,United States of America
hCoV-19/USA/WA-UW266/2020|EPI ISL 418051|NorthAmerica|USA|2020-03-13,United States of America
hCoV-19/USA/UT-00028/2020|EPI ISL 417971|NorthAmerica|USA|2020-03-24,United States of America
hCoV-19/France/HF1813/2020|EPI ISL 418221|Europe|France|2020-03-02,France
hCoV-19/Iceland/74/2020|EPI ISL 417701|Europe|Iceland|2020-03-09,Iceland
hCoV-19/Iceland/147/2020|EPI ISL 417797|Europe|Iceland|2020-03-13,Iceland
hCoV-19/Iceland/60/2020|EPI ISL 417760|Europe|Iceland|2020-03-06,Iceland
hCoV-19/Iceland/45/2020|EPI ISL 417715|Europe|Iceland|2020-03-04,Iceland
hCoV-19/Portugal/PT0037/2020|EPI ISL 418022|Europe|Portugal|2020-03-15,Portugal
hCoV-19/France/Lyon 508/2020|EPI ISL 416748|Europe|France|2020-03-04,France
hCoV-19/France/HF2595/2020|EPI ISL 418237|Europe|France|2020-03-16,France
hCoV-19/France/HF1871/2020|EPI ISL 414630|Europe|France|2020-03-03,France
hCoV-19/France/IDF2256/2020|EPI ISL 416498|Europe|France|2020-03-11,France
hCoV-19/Algeria/G0638 2264/2020|EPI ISL 418241|Africa|Algeria|2020-03-02,Algeria
hCoV-19/Algeria/G0640 2265/2020|EPI ISL 418242|Africa|Algeria|2020-03-08,Algeria
hCoV-19/Iceland/132/2020|EPI ISL 417787|Europe|Iceland|2020-03-12,Iceland
hCoV-19/France/PL1643/2020|EPI ISL 414625|Europe|France|2020-02-26,France
hCoV-19/Luxembourg/LNS2013896/2020|EPI ISL 417531|Europe|Luxembourg|2020-03-18,Luxembourg
hCoV-19/Belgium/ULG-3163/2020|EPI ISL 417006|Europe|Belgium|2020-03-05,Belgium
hCoV-19/Senegal/003/2020|EPI ISL 418206|Africa|Senegal|2020-02-28,Senegal
hCoV-19/Senegal/026/2020|EPI ISL 418209|Africa|Senegal|2020-03-03,Senegal
hCoV-19/Iceland/159/2020|EPI ISL 417806|Europe|Iceland|2020-03-13,Iceland
hCoV-19/Iceland/213/2020|EPI ISL 417752|Europe|Iceland|2020-03-16,Iceland
hCoV-19/France/HF1805/2020|EPI ISL 414628|Europe|France|2020-03-02,France
hCoV-19/France/Lyon 0693/2020|EPI ISL 416758|Europe|France|2020-03-08,France
hCoV-19/Congo/81/2020|EPI ISL 417944|Africa|Congo|2020-03-18,Dem. Rep. Congo
hCoV-19/Belgium/ULG-6670/2020|EPI ISL 417018|Europe|Belgium|2020-03-14,Belgium
hCoV-19/Taiwan/NTU03/2020|EPI ISL 413592|Asia|Taiwan|2020-03-02,Taiwan
hCoV-19/USA/WA-UW133/2020|EPI ISL 416671|NorthAmerica|USA|2020-03-12,United States of America
hCoV-19/USA/WI-14/2020|EPI ISL 417513|NorthAmerica|USA|2020-03-26,United States of America
hCoV-19/USA/MN25-MDH25/2020|EPI ISL 417192|NorthAmerica|USA|2020-03-12,United States of America
hCoV-19/Portugal/PT0021/2020|EPI ISL 418006|Europe|Portugal|2020-03-13,Portugal
hCoV-19/USA/WA-UW136/2020|EPI ISL 416674|NorthAmerica|USA|2020-03-11,United States of America
hCoV-19/SaudiArabia/SCDC-3321/2020|EPI ISL 416521|Asia|SaudiArabia|2020-03-10,SaudiArabia
hCoV-19/USA/CA-CDPH-UC12/2020|EPI ISL 417316|NorthAmerica|USA|2020-03-11,United States of America
hCoV-19/Iceland/319/2020|EPI ISL 417648|Europe|Iceland|2020-03-18,Iceland
hCoV-19/France/HF1993/2020|EPI ISL 414637|Europe|France|2020-03-04,France
hCoV-19/USA/WA-UW250/2020|EPI ISL 418035|NorthAmerica|USA|2020-03-14,United States of America
hCoV-19/USA/WI-17/2020|EPI ISL 417517|NorthAmerica|USA|2020-03-26,United States of America
hCoV-19/France/HF2174/2020|EPI ISL 415654|Europe|France|2020-03-09,France
hCoV-19/France/HF2393/2020|EPI ISL 418227|Europe|France|2020-03-12,France
hCoV-19/France/HF2155/2020|EPI ISL 418225|Europe|France|2020-03-08,France
hCoV-19/France/HF1995/2020|EPI ISL 414638|Europe|France|2020-03-04,France
hCoV-19/France/GE1977/2020|EPI ISL 414632|Europe|France|2020-03-04,France
hCoV-19/France/IDF2410/2020|EPI ISL 418229|Europe|France|2020-03-12,France
hCoV-19/Slovakia/SK-BMC5/2020|EPI ISL 417879|Europe|Slovakia|2020-03-06,Slovakia
hCoV-19/France/HF1684/2020|EPI ISL 414626|Europe|France|2020-02-29,France
hCoV-19/Slovakia/SK-BMC2/2020|EPI ISL 417878|Europe|Slovakia|2020-03-07,Slovakia
hCoV-19/Australia/VIC11/2020|EPI ISL 416517|Oceania|Australia|2020-03-16,Australia
hCoV-19/Congo/KN-0060/2020|EPI ISL 417440|Africa|Congo|2020-03-17,Dem. Rep. Congo
hCoV-19/Congo/KN-0017/2020|EPI ISL 417433|Africa|Congo|2020-03-11,Dem. Rep. Congo
hCoV-19/Australia/NSW61/2020|EPI ISL 417411|Oceania|Australia|2020-03-17,Australia
hCoV-19/Congo/KN-13/2020|EPI ISL 414647|Africa|Congo|2020-03-09,Dem. Rep. Congo
hCoV-19/Finland/FIN-114/2020|EPI ISL 414640|Europe|Finland|2020-03-01,Finland
hCoV-19/USA/MN34-MDH34/2020|EPI ISL 417471|NorthAmerica|USA|2020-03-12,United States of America
hCoV-19/Shanghai/SH0025/2020|EPI ISL 416334|Asia|China|2020-02-06,China
hCoV-19/Spain/Madrid LP10 12/2020|EPI ISL 417969|Europe|Spain|2020-03-09,Spain
hCoV-19/Shanghai/SH0014/2020|EPI ISL 416327|Asia|China|2020-01-28,China
hCoV-19/Shanghai/SH0107/2020|EPI ISL 416397|Asia|China|2020-02-02,China
hCoV-19/Shanghai/SH0114/2020|EPI ISL 416401|Asia|China|2020-02-02,China
hCoV-19/Guangdong/2020XN4448-P0002/2020|EPI ISL 413857|Asia|China|2020-01-31,China
hCoV-19/Shanghai/SH0039/2020|EPI ISL 416348|Asia|China|2020-02-06,China
hCoV-19/Guangdong/GD2020139-P0007/2020|EPI ISL 413882|Asia|China|2020-02-02,China
hCoV-19/China/WF0002/2020|EPI ISL 413692|Asia|China|2020-01,China
hCoV-19/Sichuan/IVDC-SC-001/2020|EPI ISL 408484|Asia|China|2020-01-15,China
hCoV-19/HongKong/VM20001061/2020|EPI ISL 412028|Asia|HongKong|2020-01-22,Hong Kong
hCoV-19/HongKong/Case1 21012020/2020|EPI ISL 417176|Asia|HongKong|2020-01-21,Hong Kong
hCoV-19/Vietnam/CM99/2020|EPI ISL 416429|Asia|Vietnam|2020-02-11,Vietnam
hCoV-19/Shanghai/SH0128/2020|EPI ISL 416409|Asia|China|2020-02-02,China
hCoV-19/Guangdong/GZ-S6-P0050/2020|EPI ISL 413873|Asia|China|2020-02-28,China
hCoV-19/NewZealand/20VR0275/2020|EPI ISL 416538|Oceania|NewZealand|2020-03-15,New Zealand
hCoV-19/USA/WA-UW260/2020|EPI ISL 418045|NorthAmerica|USA|2020-03-14,United States of America
hCoV-19/NewZealand/20VR0276/2020|EPI ISL 416539|Oceania|NewZealand|2020-03-15,New Zealand
hCoV-19/Shanghai/SH0017/2020|EPI ISL 416328|Asia|China|2020-02-01,China
hCoV-19/USA/CA1/2020|EPI ISL 406034|NorthAmerica|USA|2020-01-23,United States of America
hCoV-19/Vietnam/38142/2020|EPI ISL 416427|Asia|Vietnam|2020-01-24,Vietnam
hCoV-19/Wuhan/HBCDC-HB-04/2020|EPI ISL 412980|Asia|China|2020-01-18,China
hCoV-19/Wuhan/HBCDC-HB-02/2020|EPI ISL 412978|Asia|China|2020-01-17,China
hCoV-19/Guangdong/2020XN4273-P0036/2020|EPI ISL 413860|Asia|China|2020-01-30,China
hCoV-19/SouthKorea/KCDC05/2020|EPI ISL 412869|Asia|SouthKorea|2020-01-30,South Korea
hCoV-19/USA/TX1/2020|EPI ISL 411956|NorthAmerica|USA|2020-02-11,United States of America
hCoV-19/Guangdong/2020XN4291-P0038/2020|EPI ISL 413889|Asia|China|2020-01-30,China
hCoV-19/China/WF0029/2020|EPI ISL 413809|Asia|China|2020-02,China
hCoV-19/Germany/BavPat3/2020|EPI ISL 414521|Europe|Germany|2020-03-02,Germany
hCoV-19/Shenzhen/SZTH-002/2020|EPI ISL 406593|Asia|China|2020-01-13,China
hCoV-19/Shanghai/SH0004/2020|EPI ISL 416318|Asia|China|2020-01-28,China
hCoV-19/Guangdong/SZ-N128-P0057/2020|EPI ISL 413897|Asia|China|2020-02-28,China
hCoV-19/Japan/TY-WK-521/2020|EPI ISL 408667|Asia|Japan|2020-01-31,Japan
hCoV-19/Japan/TY-WK-012/2020|EPI ISL 408665|Asia|Japan|2020-01-29,Japan
hCoV-19/Shanghai/SH0059/2020|EPI ISL 416366|Asia|China|2020-01-30,China
hCoV-19/Australia/NSW04/2020|EPI ISL 417030|Oceania|Australia|2020-01-24,Australia
hCoV-19/USA/IL1/2020|EPI ISL 404253|NorthAmerica|USA|2020-01-21,United States of America
hCoV-19/China/WF0006/2020|EPI ISL 413695|Asia|China|2020-01,China
hCoV-19/Malaysia/MKAK-CL-2020-5096/2020|EPI ISL 416885|Asia|Malaysia|2020-02-20,Malaysia
hCoV-19/Shanghai/SH0009/2020|EPI ISL 416322|Asia|China|2020-01-29,China
hCoV-19/Wuhan/HBCDC-HB-06/2020|EPI ISL 412982|Asia|China|2020-02-07,China
hCoV-19/China/WF0019/2020|EPI ISL 413749|Asia|China|2020-02,China
hCoV-19/Taiwan/3/2020|EPI ISL 411926|Asia|Taiwan|2020-01-24,Taiwan
hCoV-19/Tianmen/HBCDC-HB-07/2020|EPI ISL 412983|Asia|China|2020-02-08,China
hCoV-19/Shanghai/SH0035/2020|EPI ISL 416344|Asia|China|2020-01-30,China
hCoV-19/Shanghai/SH0003/2020|EPI ISL 416317|Asia|China|2020-01-25,China
hCoV-19/Australia/QLD02/2020|EPI ISL 407896|Oceania|Australia|2020-01-30,Australia
hCoV-19/Australia/QLD01/2020|EPI ISL 407894|Oceania|Australia|2020-01-28,Australia
hCoV-19/Shanghai/SH0117/2020|EPI ISL 416403|Asia|China|2020-02-02,China
hCoV-19/Australia/QLD03/2020|EPI ISL 410717|Oceania|Australia|2020-02-05,Australia
hCoV-19/Singapore/4/2020|EPI ISL 410535|Asia|Singapore|2020-02-03,Singapore
hCoV-19/Netherlands/Utrecht 16/2020|EPI ISL 414555|Europe|Netherlands|2020-03-08,Netherlands
hCoV-19/Netherlands/Utrecht 17/2020|EPI ISL 415526|Europe|Netherlands|2020-03-10,Netherlands
hCoV-19/USA/WI-06/2020|EPI ISL 417200|NorthAmerica|USA|2020-03-21,United States of America
hCoV-19/USA/WI-22/2020|EPI ISL 417514|NorthAmerica|USA|2020-03-26,United States of America
hCoV-19/USA/WI-07/2020|EPI ISL 417201|NorthAmerica|USA|2020-03-21,United States of America
hCoV-19/USA/WA-UW158/2020|EPI ISL 416696|NorthAmerica|USA|2020-03-13,United States of America
hCoV-19/USA/CA7/2020|EPI ISL 411954|NorthAmerica|USA|2020-02-06,United States of America
hCoV-19/Australia/VIC07/2020|EPI ISL 416415|Oceania|Australia|2020-02-08,Australia
hCoV-19/Belgium/GHB-03021/2020|EPI ISL 407976|Europe|Belgium|2020-02-03,Belgium
hCoV-19/SouthKorea/KCDC03/2020|EPI ISL 407193|Asia|SouthKorea|2020-01-25,South Korea
hCoV-19/SouthKorea/KCDC07/2020|EPI ISL 412871|Asia|SouthKorea|2020-01-31,South Korea
hCoV-19/Beijing/233/2020|EPI ISL 413520|Asia|China|2020-01-28,China
hCoV-19/Beijing/105/2020|EPI ISL 413518|Asia|China|2020-01-26,China
hCoV-19/Shanghai/SH0075/2020|EPI ISL 416378|Asia|China|2020-01-30,China
hCoV-19/Shanghai/SH0034/2020|EPI ISL 416343|Asia|China|2020-02-04,China
hCoV-19/China/WF0014/2020|EPI ISL 413711|Asia|China|2020-02,China
hCoV-19/Guangdong/2020XN4475-P0042/2020|EPI ISL 413854|Asia|China|2020-01-30,China
hCoV-19/India/1-31/2020|EPI ISL 413523|Asia|India|2020-01-31,India
hCoV-19/Shanghai/SH0010/2020|EPI ISL 416323|Asia|China|2020-01-29,China
hCoV-19/Singapore/13/2020|EPI ISL 414379|Asia|Singapore|2020-02-18,Singapore
hCoV-19/Spain/Madrid R2 15/2020|EPI ISL 417979|Europe|Spain|2020-03-03,Spain
hCoV-19/Guangdong/FS-S29-P0051/2020|EPI ISL 413891|Asia|China|2020-02-28,China
hCoV-19/Spain/CastillaLaMancha201329/2020|EPI ISL 418246|Europe|Spain|2020-03-01,Spain
hCoV-19/Spain/CastillaLaMancha201328/2020|EPI ISL 418245|Europe|Spain|2020-03-01,Spain
hCoV-19/Colombia/79256/2020|EPI ISL 417924|SouthAmerica|Colombia|2020-03-11,Colombia
hCoV-19/Chile/Talca-1/2020|EPI ISL 414577|SouthAmerica|Chile|2020-03-02,Chile
hCoV-19/Spain/Madrid201449/2020|EPI ISL 418252|Europe|Spain|2020-03-04,Spain
hCoV-19/Spain/Madrid R5 8/2020|EPI ISL 417980|Europe|Spain|2020-03-03,Spain
hCoV-19/Shanghai/SH0021/2020|EPI ISL 416330|Asia|China|2020-02-02,China
hCoV-19/Shanghai/SH0115/2020|EPI ISL 416402|Asia|China|2020-02-11,China
hCoV-19/England/01/2020|EPI ISL 407071|Europe|UnitedKingdom|2020-01-29,United Kingdom
hCoV-19/England/02/2020|EPI ISL 407073|Europe|UnitedKingdom|2020-01-29,United Kingdom
hCoV-19/Taiwan/CGMH-CGU-02/2020|EPI ISL 417518|Asia|Taiwan|2020-02-04,Taiwan
hCoV-19/Guangdong/GD2020085-P0043/2020|EPI ISL 413887|Asia|China|2020-02-01,China
hCoV-19/Australia/NSW01/2020|EPI ISL 407893|Oceania|Australia|2020-01-24,Australia
hCoV-19/Shanghai/SH0030/2020|EPI ISL 416339|Asia|China|2020-02-03,China
hCoV-19/Shanghai/SH0069/2020|EPI ISL 416372|Asia|China|2020-02-01,China
hCoV-19/Spain/Madrid R10 33/2020|EPI ISL 417981|Europe|Spain|2020-03-02,Spain
hCoV-19/Spain/Valencia6/2020|EPI ISL 416485|Europe|Spain|2020-02-27,Spain
hCoV-19/Spain/Valencia2/2020|EPI ISL 414496|Europe|Spain|2020-03-04,Spain
hCoV-19/USA/NY2-PV08100/2020|EPI ISL 415151|NorthAmerica|USA|2020-03-04,United States of America
hCoV-19/Brazil/AMBR-02/2020|EPI ISL 417034|SouthAmerica|Brazil|2020-03-16,Brazil
hCoV-19/Chile/Santiago-1/2020|EPI ISL 414579|SouthAmerica|Chile|2020-03-03,Chile
hCoV-19/Spain/CastillayLeon201437/2020|EPI ISL 416994|Europe|Spain|2020-03-04,Spain
hCoV-19/Netherlands/NoordBrabant 46/2020|EPI ISL 415503|Europe|Netherlands|2020-03-11,Netherlands
hCoV-19/Georgia/Tb-390/2020|EPI ISL 416477|Asia|Georgia|2020-03-08,Georgia
hCoV-19/Wales/PHWC-24112/2020|EPI ISL 418146|Europe|UnitedKingdom|2020-03-14,United Kingdom
hCoV-19/Portugal/PT0042/2020|EPI ISL 418027|Europe|Portugal|2020-03-17,Portugal
hCoV-19/Spain/Madrid H9 38/2020|EPI ISL 417961|Europe|Spain|2020-03-12,Spain
hCoV-19/Senegal/136/2020|EPI ISL 418216|Africa|Senegal|2020-03-13,Senegal
hCoV-19/Greece/16/2020|EPI ISL 418265|Europe|Greece|2020-03-18,Greece
hCoV-19/Spain/Valencia4/2020|EPI ISL 416483|Europe|Spain|2020-02-26,Spain
hCoV-19/France/GE1583/2020|EPI ISL 414623|Europe|France|2020-02-25,France
hCoV-19/Shandong/LY003/2020|EPI ISL 414936|Asia|China|2020-01-23,China
hCoV-19/Shandong/LY005/2020|EPI ISL 414938|Asia|China|2020-01-24,China
hCoV-19/SouthKorea/KCDC24/2020|EPI ISL 412873|Asia|SouthKorea|2020-02-06,South Korea
hCoV-19/Anhui/SZ005/2020|EPI ISL 413485|Asia|China|2020-01-24,China
hCoV-19/Shanghai/SH0100/2020|EPI ISL 416392|Asia|China|2020-02-02,China
hCoV-19/Yunnan/IVDC-YN-003/2020|EPI ISL 408480|Asia|China|2020-01-17,China
hCoV-19/Guangdong/GD2020233-P0027/2020|EPI ISL 413856|Asia|China|2020-02-07,China
hCoV-19/USA/AZ1/2020|EPI ISL 406223|NorthAmerica|USA|2020-01-22,United States of America
hCoV-19/Guangdong/GD2020086-P0021/2020|EPI ISL 413862|Asia|China|2020-02-01,China
hCoV-19/Malaysia/MKAK-CL-2020-6430/2020|EPI ISL 416886|Asia|Malaysia|2020-02-20,Malaysia
hCoV-19/USA/WA1/2020|EPI ISL 404895|NorthAmerica|USA|2020-01-19,United States of America
hCoV-19/Chongqing/YC01/2020|EPI ISL 408478|Asia|China|2020-01-21,China
hCoV-19/USA/WA-S8/2020|EPI ISL 416463|NorthAmerica|USA|2020-02-24,United States of America
hCoV-19/USA/MN1-MDH1/2020|EPI ISL 414588|NorthAmerica|USA|2020-03-05,United States of America
hCoV-19/USA/CA-CDPH-UC9/2020|EPI ISL 413928|NorthAmerica|USA|2020-03-05,United States of America
hCoV-19/USA/CA-CDPH-UC8/2020|EPI ISL 413926|NorthAmerica|USA|2020-03-05,United States of America
hCoV-19/USA/CA-CDPH-UC7/2020|EPI ISL 413925|NorthAmerica|USA|2020-03-05,United States of America
hCoV-19/USA/WA-S90/2020|EPI ISL 417143|NorthAmerica|USA|2020-02-29,United States of America
hCoV-19/USA/WA-UW180/2020|EPI ISL 416718|NorthAmerica|USA|2020-03-14,United States of America
hCoV-19/USA/WA-UW15/2020|EPI ISL 414363|NorthAmerica|USA|2020-03-04,United States of America
hCoV-19/USA/WA-UW284/2020|EPI ISL 418069|NorthAmerica|USA|2020-03-14,United States of America
hCoV-19/USA/WA-UW58/2020|EPI ISL 415623|NorthAmerica|USA|2020-03-09,United States of America
hCoV-19/USA/WA-UW132/2020|EPI ISL 416670|NorthAmerica|USA|2020-03-12,United States of America
hCoV-19/USA/WA-S33/2020|EPI ISL 417086|NorthAmerica|USA|2020-03-01,United States of America
hCoV-19/USA/CA-CDPH-UC23/2020|EPI ISL 417327|NorthAmerica|USA|2020-03-09,United States of America
hCoV-19/USA/WA-UW42/2020|EPI ISL 415607|NorthAmerica|USA|2020-03-09,United States of America
hCoV-19/USA/WA-UW131/2020|EPI ISL 416669|NorthAmerica|USA|2020-03-11,United States of America
hCoV-19/USA/WA-S110/2020|EPI ISL 417163|NorthAmerica|USA|2020-03-05,United States of America
hCoV-19/USA/WA-UW208/2020|EPI ISL 417357|NorthAmerica|USA|2020-03-13,United States of America
hCoV-19/USA/WA-UW101/2020|EPI ISL 416639|NorthAmerica|USA|2020-03-10,United States of America
hCoV-19/USA/MN44-MDH44/2020|EPI ISL 417480|NorthAmerica|USA|2020-03-12,United States of America
hCoV-19/USA/WA-UW139/2020|EPI ISL 416677|NorthAmerica|USA|2020-03-12,United States of America
hCoV-19/USA/WA-S11/2020|EPI ISL 416466|NorthAmerica|USA|2020-03-03,United States of America
hCoV-19/USA/WA-UW225/2020|EPI ISL 417374|NorthAmerica|USA|2020-03-15,United States of America
hCoV-19/USA/WA-UW228/2020|EPI ISL 417377|NorthAmerica|USA|2020-03-15,United States of America
hCoV-19/USA/WA-UW281/2020|EPI ISL 418066|NorthAmerica|USA|2020-03-14,United States of America
hCoV-19/USA/WA-UW62/2020|EPI ISL 415627|NorthAmerica|USA|2020-03-09,United States of America
hCoV-19/USA/WA-UW107/2020|EPI ISL 416645|NorthAmerica|USA|2020-03-11,United States of America
hCoV-19/USA/WA-UW27/2020|EPI ISL 414596|NorthAmerica|USA|2020-03-04,United States of America
hCoV-19/USA/WA-UW279/2020|EPI ISL 418064|NorthAmerica|USA|2020-03-15,United States of America
hCoV-19/USA/WA-UW91/2020|EPI ISL 416447|NorthAmerica|USA|2020-03-10,United States of America
hCoV-19/USA/WA-UW292/2020|EPI ISL 418077|NorthAmerica|USA|2020-03-15,United States of America
hCoV-19/USA/WA-UW204/2020|EPI ISL 417353|NorthAmerica|USA|2020-03-13,United States of America
hCoV-19/USA/WA-S35/2020|EPI ISL 417088|NorthAmerica|USA|2020-03-02,United States of America
hCoV-19/USA/WA-UW297/2020|EPI ISL 418082|NorthAmerica|USA|2020-03-15,United States of America
hCoV-19/USA/WA-UW148/2020|EPI ISL 416686|NorthAmerica|USA|2020-03-14,United States of America
hCoV-19/USA/WA-UW205/2020|EPI ISL 417354|NorthAmerica|USA|2020-03-13,United States of America
hCoV-19/USA/WA-UW289/2020|EPI ISL 418074|NorthAmerica|USA|2020-03-15,United States of America
hCoV-19/USA/WA-UW188/2020|EPI ISL 416726|NorthAmerica|USA|2020-03-13,United States of America
hCoV-19/USA/WA-UW212/2020|EPI ISL 417361|NorthAmerica|USA|2020-03-14,United States of America
hCoV-19/USA/WA-UW211/2020|EPI ISL 417360|NorthAmerica|USA|2020-03-14,United States of America
hCoV-19/USA/WA-UW56/2020|EPI ISL 415621|NorthAmerica|USA|2020-03-09,United States of America
hCoV-19/USA/WA-UW199/2020|EPI ISL 417348|NorthAmerica|USA|2020-03-13,United States of America
hCoV-19/USA/WA-UW242/2020|EPI ISL 417456|NorthAmerica|USA|2020-03-14,United States of America
