taxa	location
GD-CDC/GD2020234/P0023|716-1-85R|China|Guangdong||2020-02-07	Guangdong
GD-CDC/GD2020233/P0027|718-1-88R|China|Guangdong||2020-02-07	Guangdong
GD-CDC/2020XN4448/|720-1-90R|China|Guangdong||2020-01-31	Guangdong
GD-CDC/2020XN4459/|721-1-91R|China|Guangdong||2020-01-30	Guangdong
GD-CDC/GDFS2020067/P0015|722-1-92R|China|Guangdong||2020-02-10	Guangdong
GD-CDC/2020XN4276/|724-1-94R|China|Guangdong||2020-01-31	Guangdong
GD-CDC/2020XN4273/|725-1-95R|China|Guangdong||2020-01-30	Guangdong
GD-CDC/2020XN4239/|726-1-96R|China|Guangdong||2020-01-30	Guangdong
GD-CDC/GD2020012/P0022|GD2020012|China|Guangdong||2020-02-01	Guangdong
GD-CDC/GD2020017/P0009|GD2020017|China|Guangdong||2020-02-01	Guangdong
GD-CDC/GD2020027/P0027|GD2020027|China|Guangdong||2020-02-01	Guangdong
GD-CDC/GD2020080/P0010|GD2020080|China|Guangdong||2020-02-01	Guangdong
GD-CDC/GD2020086/P0021|GD2020086|China|Guangdong||2020-02-01	Guangdong
GD-CDC/GD2020087/P0008|GD2020087|China|Guangdong||2020-02-01	Guangdong
GD-CDC/GD2020227/P0029|GD2020227|China|Guangdong||2020-02-05	Guangdong
GD-CDC/GD2020239/P0009|GD2020239|China|Guangdong||2020-02-09	Guangdong
GD-CDC/GD2020240/P0010|GD2020240|China|Guangdong||2020-02-09	Guangdong
GD-CDC/GD2020241/P0013|GD2020241|China|Guangdong||2020-02-09	Guangdong
GD-CDC/GD2020246/P0028|GD2020246|China|Guangdong||2020-02-09	Guangdong
GD-CDC/GD2020258/P0018|GD2020258|China|Guangdong||2020-02-09	Guangdong
GD-CDC/GD2020264/P0006|GD2020264|China|Guangdong||2020-02-09	Guangdong
GD-CDC/GD2020349/P0022|GD2020349|China|Guangdong||2020-02-09	Guangdong
GD-CDC/GDSZ202008/P0020|GDSZ202008|China|Guangdong||2020-02-05	Guangdong
GD-CDC/GDSZ202013/P0014|GDSZ202013|China|Guangdong||2020-02-05	Guangdong
GD-CDC/GDSZ202015/P0019|GDSZ202015|China|Guangdong||2020-02-05	Guangdong
GD-CDC/GDSZ202008/P0020|RM690-1-81R|China|Guangdong||2020-02-05	Guangdong
GD-CDC/GDSZ202015/P0019|RM691-1-82R|China|Guangdong||2020-02-05	Guangdong
GD-CDC/GD2020115/P0009|RM693-1-84R|China|Guangdong||2020-02-02	Guangdong
GD-CDC/GD2020160/P0010|RM697-1-89R|China|Guangdong||2020-02-03	Guangdong
